acct,area,vmail,day.mins,day.calls,day.charge,intl.mins,intl.calls,intl.charge,churn
100,415,no,251.8,72,42.81,9.8,7,2.65,Yes
101,510,yes,161.2,114,27.4,4.4,8,1.19,No
102,415,no,178.3,137,30.31,14.6,5,3.94,No
103,415,no,151.7,82,25.79,10.5,6,2.84,No
104,408,no,135,99,22.95,12.5,9,3.38,No
105,408,no,170.5,94,28.99,11.3,2,3.05,No
106,408,no,238.1,65,40.48,11.8,4,3.19,No
107,510,yes,281.4,102,47.84,9,6,2.43,No
108,510,yes,117.9,131,20.04,9.8,3,2.65,No
109,415,yes,148.6,91,25.26,10.1,1,2.73,No
110,408,no,229.8,90,39.07,9.6,7,2.59,No
111,408,no,165,100,28.05,8.3,8,2.24,No
112,415,no,185,117,31.45,12.6,2,3.4,No
113,408,no,161,117,27.37,12.1,4,3.27,No
114,408,no,126.7,108,21.54,13.3,7,3.59,No
115,415,no,58.9,125,10.01,9.4,3,2.54,No
116,510,yes,196.8,89,33.46,20,6,5.4,Yes
117,510,no,162.6,83,27.64,14.2,3,3.83,No
118,415,no,282.5,114,48.03,9.4,4,2.54,Yes
119,510,yes,113.7,117,19.33,10,3,2.7,No
120,408,no,239.8,125,40.77,8.7,5,2.35,No
121,408,no,210.2,92,35.73,13.1,7,3.54,No
122,408,yes,213.8,102,36.35,7.2,3,1.94,No
123,510,no,190.7,103,32.42,9.8,4,2.65,No
124,415,no,170.9,124,29.05,11.6,3,3.13,No
125,510,no,154.2,119,26.21,9.2,5,2.48,No
126,408,no,201.4,52,34.24,12,3,3.24,No
127,415,no,70.7,108,12.02,9.1,3,2.46,Yes
128,510,yes,187.5,124,31.88,6.4,6,1.73,Yes
129,408,no,91.7,90,15.59,9.2,4,2.48,No
130,408,yes,214.2,115,36.41,9.5,4,2.57,No
131,415,no,145.5,92,24.74,10.9,2,2.94,No
132,408,no,166.3,125,28.27,6.1,5,1.65,No
133,415,no,231,115,39.27,9.5,3,2.57,No
134,408,no,200.3,96,34.05,7.1,1,1.92,No
135,408,no,197,109,33.49,9.1,10,2.46,No
136,510,no,129.9,112,22.08,11.2,3,3.02,No
137,415,yes,175.8,97,29.89,5.3,4,1.43,No
138,510,no,203.1,106,34.53,12,3,3.24,No
139,510,yes,183.2,117,31.14,11.2,8,3.02,No
140,415,yes,205,101,34.85,10.2,5,2.75,No
141,510,no,148.5,115,25.25,12.4,3,3.35,No
142,415,yes,200.3,68,34.05,10.5,4,2.84,No
143,415,yes,192.6,107,32.74,6.8,5,1.84,No
144,510,no,246.5,47,41.91,11.7,4,3.16,No
145,408,no,167.1,86,28.41,14.1,7,3.81,Yes
146,415,no,231.9,101,39.42,14.3,6,3.86,No
147,408,no,146.7,91,24.94,13.7,3,3.7,No
148,408,no,271.5,87,46.16,11.7,4,3.16,No
149,408,no,181.5,121,30.86,8.5,5,2.3,No
150,408,yes,257.7,97,43.81,11.1,4,3,No
151,408,no,193.8,99,32.95,10.6,6,2.86,No
152,415,no,102.8,119,17.48,10.1,7,2.73,No
153,408,no,187.9,116,31.94,7.5,6,2.03,No
154,415,no,226,112,38.42,6.9,11,1.86,No
155,415,no,260.4,115,44.27,11.5,4,3.11,No
156,408,no,178.7,116,30.38,9.8,4,2.65,No
157,415,no,337.4,120,57.36,15.8,7,4.27,Yes
158,510,yes,157.6,129,26.79,13.7,2,3.7,No
159,510,no,183.6,117,31.21,10.2,2,2.75,No
160,510,yes,142.1,124,24.16,9.6,4,2.59,No
161,415,no,136.3,97,23.17,7.1,5,1.92,No
162,415,no,217.1,110,36.91,12,6,3.24,No
163,510,yes,187.5,99,31.88,10.5,5,2.84,No
164,415,no,98.9,103,16.81,12.2,1,3.29,No
165,415,no,206.3,151,35.07,6.1,3,1.65,No
166,415,yes,243.1,92,41.33,12.1,2,3.27,No
167,510,yes,189.8,126,32.27,7.5,3,2.03,No
168,415,no,202,102,34.34,10.9,3,2.94,No
169,408,yes,170.1,124,28.92,12.8,4,3.46,No
170,510,no,230.9,87,39.25,6.3,2,1.7,No
171,408,no,237.1,105,40.31,13.2,2,3.56,No
172,408,yes,182.1,91,30.96,10.6,5,2.86,No
173,415,no,119.3,87,20.28,10.5,4,2.84,No
174,415,no,116.8,87,19.86,14.1,2,3.81,No
175,408,no,219.2,92,37.26,6.1,5,1.65,No
176,415,no,252.6,104,42.94,11.1,7,3,No
177,415,no,147.1,91,25.01,12.2,3,3.29,No
178,415,no,202.1,103,34.36,11.5,3,3.11,No
179,408,no,173.5,93,29.5,16.2,10,4.37,No
180,408,no,232.1,122,39.46,0,0,0,No
181,510,yes,197.1,125,33.51,9.5,5,2.57,No
182,415,no,58.2,94,9.89,11.9,1,3.21,Yes
183,408,yes,115.6,111,19.65,9.9,12,2.67,No
184,408,no,186.1,98,31.64,14.6,7,3.94,No
185,510,no,259.9,68,44.18,8.4,3,2.27,No
186,415,no,214.3,145,36.43,10.8,13,2.92,No
187,408,no,158.7,74,26.98,10.2,4,2.75,No
188,415,no,271.6,71,46.17,10.9,3,2.94,No
189,510,no,160.6,111,27.3,9,3,2.43,No
190,408,no,232.4,109,39.51,9.1,3,2.46,No
191,415,no,133.8,85,22.75,8.9,4,2.4,No
192,415,no,176.9,109,30.07,9.5,2,2.57,No
193,408,no,209.9,74,35.68,8.8,4,2.38,No
194,415,no,137.5,118,23.38,13.4,2,3.62,No
195,408,yes,289.5,52,49.22,9.5,4,2.57,No
196,415,yes,198.1,86,33.68,6.8,6,1.84,No
197,415,no,149.7,119,25.45,9.7,8,2.62,No
198,510,no,326.5,67,55.51,10.7,6,2.89,Yes
199,510,yes,292.9,101,49.79,13.8,7,3.73,Yes
200,408,no,83,64,14.11,13,3,3.51,No
201,415,yes,145.7,146,24.77,13.1,5,3.54,No
202,408,no,182.3,101,30.99,11.2,1,3.02,No
203,415,no,218,86,37.06,6.4,8,1.73,No
204,510,no,140.6,109,23.9,6.8,3,1.84,No
205,415,no,152.7,105,25.96,9.4,4,2.54,No
206,415,yes,106.7,76,18.14,12.1,2,3.27,No
207,415,no,243.8,98,41.45,13.7,8,3.7,No
208,415,no,194.4,94,33.05,10.8,5,2.92,No
209,510,no,213.9,95,36.36,12.2,5,3.29,No
210,510,no,217.2,112,36.92,15.8,7,4.27,No
211,415,no,241.1,72,40.99,11.6,10,3.13,No
212,510,no,203.5,100,34.6,11.9,11,3.21,No
213,415,yes,155.2,131,26.38,10.7,3,2.89,No
214,408,yes,167.6,139,28.49,12.2,6,3.29,No
215,510,no,226.7,98,38.54,17.6,4,4.75,Yes
216,415,no,179.3,93,30.48,11.5,6,3.11,No
217,415,no,151.4,89,25.74,10.9,3,2.94,No
218,415,no,180,80,30.6,4.7,7,1.27,No
219,415,no,250.2,121,42.53,13,2,3.51,Yes
220,415,no,223,121,37.91,7.1,12,1.92,No
221,415,no,183.6,116,31.21,12.2,6,3.29,No
222,408,yes,166,114,28.22,10.2,6,2.75,No
223,415,no,136.1,112,23.14,4.4,2,1.19,No
224,408,no,149.3,113,25.38,8.9,6,2.4,No
225,408,no,65.4,97,11.12,13.8,1,3.73,No
226,415,no,213.4,111,36.28,2.7,4,0.73,No
227,415,no,206.9,85,35.17,7.7,2,2.08,No
228,408,yes,186.2,78,31.65,9.6,3,2.59,No
229,415,yes,280.2,136,47.63,13.3,3,3.59,No
230,415,yes,196.6,84,33.42,11.9,3,3.21,No
231,408,no,312,109,53.04,10.5,2,2.84,Yes
232,415,yes,199,110,33.83,11,6,2.97,No
233,415,no,203.1,96,34.53,13.5,2,3.65,No
234,415,no,168.8,97,28.7,10.9,2,2.94,No
235,415,no,173.1,140,29.43,9,5,2.43,No
236,510,no,134.4,106,22.85,10.2,2,2.75,Yes
237,408,yes,202.6,103,34.44,9,9,2.43,No
238,408,no,74.5,117,12.67,9.8,7,2.65,No
239,510,no,83.6,148,14.21,10.7,9,2.89,No
240,415,no,192.2,86,32.67,9.4,6,2.54,No
241,510,no,220.2,89,37.43,12.9,5,3.48,No
242,415,no,135.1,95,22.97,12.3,2,3.32,Yes
243,415,no,253.4,77,43.08,8.4,2,2.27,No
244,408,no,225,81,38.25,7.1,2,1.92,No
245,408,no,198.5,99,33.75,9.4,3,2.54,Yes
246,408,no,110.3,107,18.75,9.5,5,2.57,No
247,415,yes,60,102,10.2,11.1,3,3,No
248,510,no,214.8,94,36.52,10.2,5,2.75,No
249,408,no,181.8,85,30.91,9.2,2,2.48,No
250,510,yes,154,114,26.18,11.8,4,3.19,No
251,415,yes,157.4,99,26.76,13.9,11,3.75,Yes
252,415,no,207.9,91,35.34,14.4,7,3.89,No
253,408,no,207,90,35.19,9.1,8,2.46,No
254,510,yes,119,101,20.23,9.5,3,2.57,No
255,415,no,143.7,117,24.43,10.9,3,2.94,No
256,408,yes,165.9,126,28.2,14.1,8,3.81,No
257,510,no,138.6,122,23.56,9.8,3,2.65,No
258,415,no,84.7,118,14.4,14.5,8,3.92,No
259,408,no,62.6,111,10.64,10.4,2,2.81,Yes
260,510,no,155.2,79,26.38,8.7,4,2.35,No
261,510,yes,164.9,110,28.03,6.7,9,1.81,No
262,408,no,134.5,88,22.87,15.4,1,4.16,No
263,415,no,143.3,103,24.36,11.5,3,3.11,No
264,510,no,168.3,110,28.61,12.5,1,3.38,No
265,408,no,262.4,55,44.61,8.3,6,2.24,No
266,510,yes,206.2,79,35.05,11.4,6,3.08,No
267,510,yes,225.8,94,38.39,8.4,9,2.27,No
268,408,no,138.3,89,23.51,13.5,6,3.65,No
269,510,yes,94.4,104,16.05,4.5,4,1.22,No
270,408,no,160,123,27.2,9.9,3,2.67,No
271,415,no,206.6,105,35.12,14.6,3,3.94,No
272,415,no,134.7,121,22.9,7.7,3,2.08,No
273,415,yes,214.4,78,36.45,8,13,2.16,No
274,415,no,192.8,104,32.78,13,3,3.51,No
275,408,yes,151.1,90,25.69,10,3,2.7,No
276,415,no,221.4,103,37.64,9.8,5,2.65,No
277,510,no,218.9,88,37.21,11.1,4,3,No
278,408,yes,189.8,96,32.27,6.5,2,1.76,Yes
279,415,yes,192.7,85,32.76,10.9,6,2.94,No
280,510,no,204.4,135,34.75,10.5,6,2.84,No
281,415,no,172.3,97,29.29,13,4,3.51,No
282,415,no,198.4,93,33.73,10.4,6,2.81,No
283,415,yes,211.7,115,35.99,12.2,1,3.29,No
284,415,yes,221.6,74,37.67,9,2,2.43,No
285,415,no,197.9,108,33.64,6.7,5,1.81,No
286,408,yes,147.5,90,25.08,15.6,3,4.21,No
287,510,no,206.4,122,35.09,8.8,5,2.38,No
288,408,no,205.9,88,35,14.5,4,3.92,No
289,510,no,207.6,88,35.29,14.1,5,3.81,No
290,510,no,303.9,95,51.66,5.3,3,1.43,Yes
291,415,yes,230.6,121,39.2,8,2,2.16,No
292,510,no,99.5,110,16.92,9.7,3,2.62,No
293,510,no,177.1,112,30.11,5.9,4,1.59,No
294,415,yes,172.7,93,29.36,10.3,5,2.78,Yes
295,510,yes,172.7,86,29.36,9.8,3,2.65,No
296,510,no,204.2,115,34.71,9.5,5,2.57,No
297,415,no,85.7,83,14.57,10.1,5,2.73,No
298,415,no,157.6,117,26.79,11.9,1,3.21,No
299,415,no,215.5,129,36.64,6.6,9,1.78,No
300,415,no,181.5,98,30.86,6.6,5,1.78,No
301,415,no,171.7,80,29.19,11.9,4,3.21,No
302,415,no,266.6,106,45.32,5.9,2,1.59,Yes
303,408,no,170.4,108,28.97,11.2,3,3.02,Yes
304,415,no,158,106,26.86,9.1,4,2.46,No
305,510,no,92,117,15.64,10.3,10,2.78,No
306,415,no,234,109,39.78,9.1,5,2.46,No
307,415,no,272.1,111,46.26,8.5,10,2.3,Yes
308,408,no,296.4,99,50.39,11.4,3,3.08,Yes
309,510,no,194.4,101,33.05,11.4,2,3.08,No
310,415,no,227.2,128,38.62,8.9,4,2.4,No
311,415,no,248.7,109,42.28,13.2,2,3.56,Yes
312,415,yes,236.3,102,40.17,9.7,6,2.62,No
313,510,no,205.6,69,34.95,10.9,3,2.94,No
314,408,no,94.1,136,16,9.8,4,2.65,No
315,408,no,125.2,99,21.28,18.9,2,5.1,No
316,408,no,60.4,158,10.27,12.4,3,3.35,No
317,415,yes,121,105,20.57,7.7,4,2.08,No
318,415,yes,117.8,66,20.03,7.6,3,2.05,No
319,510,yes,232.4,96,39.51,5,5,1.35,No
320,510,yes,223.5,81,38,9.4,2,2.54,Yes
321,510,no,176.3,79,29.97,6.2,3,1.67,No
322,415,yes,125.2,79,21.28,12.9,3,3.48,No
323,408,no,138.7,107,23.58,10,3,2.7,No
324,415,no,86.3,134,14.67,11.3,4,3.05,No
325,408,no,207,91,35.19,13.4,5,3.62,No
326,510,yes,58.8,104,10,7.1,3,1.92,No
327,408,yes,68.7,95,11.68,11.4,4,3.08,No
328,408,yes,239.2,109,40.66,9.5,4,2.57,No
329,510,no,198.3,130,33.71,12.5,3,3.38,No
330,510,no,205.2,97,34.88,14.4,12,3.89,No
331,510,no,192.1,98,32.66,7.9,2,2.13,No
332,415,no,272.6,83,46.34,9.5,2,2.57,Yes
333,415,no,128.3,121,21.81,12.2,5,3.29,Yes
334,510,no,169.6,99,28.83,9.3,4,2.51,No
335,510,no,201.3,95,34.22,7.5,4,2.03,No
336,408,yes,214.7,97,36.5,8.6,4,2.32,No
337,510,no,169.2,70,28.76,10.6,2,2.86,No
338,415,no,194.1,121,33,7,7,1.89,No
339,510,no,233.8,104,39.75,7.6,3,2.05,No
340,408,no,225.1,67,38.27,14.6,2,3.94,No
341,415,no,213,63,36.21,9.1,1,2.46,Yes
342,415,no,183.9,115,31.26,10.8,11,2.92,No
343,415,yes,221.8,105,37.71,14,7,3.78,No
344,408,yes,64.6,98,10.98,0,0,0,No
345,510,yes,154.6,92,26.28,13.3,3,3.59,No
346,415,no,260.2,131,44.23,7.2,8,1.94,No
347,415,yes,161.6,117,27.47,12.2,5,3.29,No
348,510,no,220.6,117,37.5,10.5,11,2.84,No
349,415,yes,155.9,122,26.5,13.1,5,3.54,No
350,510,no,107,63,18.19,12.8,3,3.46,Yes
351,510,no,182.5,104,31.03,11.3,8,3.05,No
352,415,yes,220.1,78,37.42,10.1,4,2.73,No
353,408,no,152.2,112,25.87,5.3,3,1.43,No
354,415,no,181.5,95,30.86,14.7,9,3.97,No
355,408,no,236.2,77,40.15,13.2,2,3.56,Yes
356,415,no,166.1,105,28.24,12.7,2,3.43,No
357,408,no,244.6,89,41.58,11.3,4,3.05,No
358,408,yes,134.2,85,22.81,8.5,2,2.3,No
359,408,yes,149.7,122,25.45,9.2,4,2.48,No
360,408,yes,150.1,109,25.52,5.8,4,1.57,No
361,408,no,257.1,53,43.71,8.8,6,2.38,Yes
362,415,no,124.4,83,21.15,11.3,6,3.05,No
363,415,yes,141.7,121,24.09,12,5,3.24,No
364,408,no,230,87,39.1,11.3,3,3.05,No
365,408,no,162.3,88,27.59,10.9,2,2.94,No
366,415,no,350.8,75,59.64,10.1,9,2.73,Yes
367,415,no,193.3,96,32.86,9.1,3,2.46,No
368,415,no,78.2,127,13.29,18,3,4.86,No
369,415,no,83.4,110,14.18,7.6,5,2.05,No
370,415,no,195.6,99,33.25,16,2,4.32,No
371,415,no,201.8,81,34.31,10.3,6,2.78,No
372,408,no,197,110,33.49,10.6,6,2.86,No
373,415,no,218,57,37.06,12.4,1,3.35,Yes
374,415,no,164.8,98,28.02,14.8,2,4,No
375,415,no,179.2,77,30.46,9.2,6,2.48,No
376,415,yes,214,113,36.38,10.6,5,2.86,No
377,415,no,170.5,87,28.99,11.2,7,3.02,No
378,408,no,205.7,123,34.97,6.7,18,1.81,No
379,415,no,165.5,84,28.14,11.5,2,3.11,Yes
380,415,no,221,100,37.57,6.8,4,1.84,No
381,510,no,242.1,118,41.16,14.7,2,3.97,No
382,415,no,151.6,107,25.77,14.7,4,3.97,No
383,415,no,176.2,87,29.95,5.7,4,1.54,No
384,415,yes,196,82,33.32,3.7,5,1,No
385,408,no,159.5,125,27.12,7.2,4,1.94,No
386,415,no,230.2,113,39.13,10.7,7,2.89,No
387,415,no,146.7,64,24.94,8.9,1,2.4,No
388,510,no,210.5,102,35.79,8.5,5,2.3,No
389,415,no,102,95,17.34,10.7,3,2.89,No
390,510,no,126,99,21.42,10.2,6,2.75,No
391,415,no,168.4,125,28.63,11.1,2,3,No
392,415,no,105.6,129,17.95,8.7,3,2.35,No
393,415,no,206.5,92,35.11,12.4,5,3.35,No
394,510,no,217.1,76,36.91,9.4,3,2.54,No
395,510,no,229.6,78,39.03,10.8,2,2.92,Yes
396,415,yes,278.3,89,47.31,9.7,5,2.62,No
397,408,no,138.6,102,23.56,7.8,4,2.11,No
398,415,no,234.4,103,39.85,2,2,0.54,Yes
399,510,no,181.5,129,30.86,8.5,4,2.3,No
400,415,no,167.3,91,28.44,10.6,5,2.86,Yes
401,415,yes,121,105,20.57,12,1,3.24,No
402,415,no,221.1,124,37.59,10.6,3,2.86,No
403,408,yes,145.8,108,24.79,9.9,2,2.67,No
404,510,no,222.8,122,37.88,11.2,6,3.02,No
405,415,no,183.4,80,31.18,7.5,3,2.03,No
406,415,no,264.3,91,44.93,9.3,5,2.51,No
407,415,no,146,78,24.82,6.8,7,1.84,No
408,510,no,157.1,134,26.71,8.5,5,2.3,Yes
409,510,no,127.3,108,21.64,10.3,3,2.78,No
410,415,no,187.9,110,31.94,4.8,4,1.3,No
411,408,no,178.8,90,30.4,8.4,5,2.27,No
412,415,no,97.2,80,16.52,10.4,6,2.81,No
413,415,no,259.8,85,44.17,5.4,1,1.46,No
414,415,no,256.5,112,43.61,7,5,1.89,No
415,415,no,169.5,77,28.82,10,3,2.7,No
416,415,no,239.7,47,40.75,8.7,3,2.35,Yes
417,510,no,171.5,99,29.16,5,2,1.35,Yes
418,408,no,239.9,84,40.78,9.8,2,2.65,No
419,408,yes,142.3,73,24.19,16,6,4.32,No
420,415,no,184.1,98,31.3,7.5,6,2.03,No
421,415,yes,206.9,126,35.17,9.3,11,2.51,No
422,510,no,259.9,114,44.18,15.3,1,4.13,No
423,415,no,203.8,122,34.65,12.5,3,3.38,No
424,415,yes,248.8,124,42.3,10.3,2,2.78,No
425,415,yes,221.6,110,37.67,11.3,3,3.05,No
426,510,no,192.9,131,32.79,10.9,4,2.94,No
427,415,no,122.4,129,20.81,12.5,7,3.38,No
428,415,yes,104.9,65,17.83,9.6,9,2.59,No
429,408,no,173.2,91,29.44,11.2,5,3.02,No
430,510,no,119.4,69,20.3,12.4,7,3.35,No
431,510,no,250.3,100,42.55,13.3,2,3.59,Yes
432,415,no,178.3,98,30.31,11.4,4,3.08,No
433,510,no,243.4,77,41.38,12.8,2,3.46,No
434,415,no,155,106,26.35,11.8,5,3.19,No
435,408,yes,288.7,101,49.08,8.6,3,2.32,No
436,510,yes,240.4,80,40.87,11.2,3,3.02,No
437,415,no,190.3,123,32.35,8,3,2.16,No
438,510,no,278,76,47.26,8.3,4,2.24,Yes
439,510,no,155,93,26.35,13.5,3,3.65,No
440,415,no,153.5,99,26.1,6.3,2,1.7,No
441,510,yes,273.4,141,46.48,12.3,6,3.32,No
442,408,no,155.3,93,26.4,12.4,4,3.35,No
443,510,yes,133.1,114,22.63,6.8,3,1.84,No
444,510,no,246.8,129,41.96,12.6,5,3.4,No
445,408,no,165.4,107,28.12,9.6,7,2.59,No
446,510,no,59.5,103,10.12,11.1,6,3,No
447,510,no,138.3,116,23.51,9.6,4,2.59,No
448,510,no,286.7,100,48.74,6.9,5,1.86,No
449,415,no,117.3,114,19.94,12.2,3,3.29,No
450,510,yes,264.3,79,44.93,6.3,3,1.7,No
451,408,no,127.9,107,21.74,12.5,5,3.38,No
452,408,yes,225.5,107,38.34,9.8,2,2.65,No
453,510,no,149,115,25.33,8.3,3,2.24,No
454,415,yes,198.9,77,33.81,14.3,9,3.86,No
455,408,no,256.4,125,43.59,11.1,1,3,Yes
456,415,no,264.8,124,45.02,14.8,2,4,Yes
457,415,no,98.2,88,16.69,9.3,2,2.51,No
458,408,no,159.8,99,27.17,9.7,7,2.62,No
459,415,yes,190.6,86,32.4,6,3,1.62,No
460,415,no,184,120,31.28,11,3,2.97,No
461,415,no,261.8,128,44.51,9.6,5,2.59,No
462,408,no,147.9,109,25.14,9.6,9,2.59,No
463,415,yes,106.4,109,18.09,10.1,5,2.73,No
464,408,no,133.7,75,22.73,5.9,2,1.59,No
465,415,yes,193.5,85,32.9,8.5,5,2.3,No
466,415,no,178.2,113,30.29,13.6,3,3.67,Yes
467,510,yes,226.2,103,38.45,10.5,5,2.84,Yes
468,415,no,170.4,103,28.97,11.6,4,3.13,No
469,415,yes,70.9,163,12.05,11.1,5,3,No
470,510,yes,194.4,63,33.05,17.2,9,4.64,No
471,415,no,240.3,146,40.85,10.6,2,2.86,No
472,408,no,75,116,12.75,9.5,6,2.57,No
473,408,no,69.1,117,11.75,6.3,3,1.7,No
474,510,yes,96.6,59,16.42,6.2,4,1.67,Yes
475,415,yes,214.6,101,36.48,14.8,12,4,No
476,510,no,148.5,111,25.25,9.9,6,2.67,No
477,510,no,258.1,106,43.88,11.7,5,3.16,No
478,510,yes,149.7,112,25.45,7.6,2,2.05,No
479,408,no,149.8,134,25.47,8.1,2,2.19,No
480,408,no,190.4,102,32.37,11.2,4,3.02,No
481,408,no,181.4,108,30.84,11.6,6,3.13,No
482,408,no,151.1,123,25.69,5.3,3,1.43,No
483,415,no,155.7,116,26.47,8.1,4,2.19,No
484,510,no,149.9,95,25.48,13.3,13,3.59,No
485,510,no,222.3,132,37.79,11,2,2.97,No
486,415,yes,149.4,111,25.4,6.7,2,1.81,No
487,510,no,233.8,103,39.75,12.8,3,3.46,No
488,415,no,204.2,100,34.71,10.5,2,2.84,No
489,510,no,242.9,126,41.29,0,0,0,No
490,415,no,150.4,119,25.57,12.3,4,3.32,No
491,415,no,208.9,119,35.51,12.8,7,3.46,No
492,415,no,191.9,91,32.62,14.3,6,3.86,Yes
493,415,no,130.7,113,22.22,9.4,2,2.54,Yes
494,415,yes,119.6,104,20.33,5.9,2,1.59,No
495,408,no,273.6,93,46.51,8.2,4,2.21,No
496,415,no,156.1,114,26.54,11.1,9,3,No
